inventory_id,prod_id,qty,color,size,weight,retail,cost_price
546,135,0,green,small,0,0,0
631,160,0,"",small,0,0,0
21215,2934,0,pink,small,0,0,0
621,156,0,pink,large,2,0,0
556,136,0,"",Large,0,0,0
635,161,0,"",medium,0,0,0
636,161,0,"",large,1,0,0
20456,2844,0,"",large,1,0,0
641,163,0,"",medium,0,0,0
20457,2844,0,"",XL,2,0,1.5
20458,2844,0,"",2XL,2,0,1.5
663,169,0,"",large,1,0,0
644,164,0,"",medium,0,0,0
645,164,0,"",large,0,0,0
667,171,0,"",small,0,0,0
640,163,0,"",small,0,0,0
648,165,0,"",large,2,0,0
646,165,0,"",small,0,0,0
651,166,0,pink,large,0,0,0
658,168,0,"",small,0,0,0
652,166,0,purple,small,0,0,0
654,166,0,purple,large,0,0,0
672,172,0,"",large,0,0,0
653,166,0,purple,medium,0,0,0
697,179,0,Coffee,Small,0,0,0
716,181,0,Bike,Medium,0,0,0
657,167,0,"",large,0,0,0
656,167,0,"",medium,0,0,0
711,180,0,Oatmeal,Large,0,0,0
659,168,0,"",medium,0,0,0
708,177,0,Spirit,Large,0,0,0
686,175,0,coral,medium,0,0,0
662,169,0,"",medium,0,0,0
665,170,0,"",medium,1,0,0
666,170,0,"",large,1,0,0
735,184,0,"",large,0,0,0
668,171,0,"",medium,0,0,0
669,171,0,"",large,1,0,0
718,181,0,Dream,Small,0,0,0
670,172,0,"",small,0,0,0
671,172,0,"",medium,0,0,0
734,184,0,"",medium,0,0,0
21650,2984,0,black,medium,1,0,0
649,166,0,pink,small,0,0,0
723,182,0,White,"",0,0,0
690,176,0,"",large,0,0,0
677,174,0,"",medium,0,0,0
678,174,0,"",large,0,0,0
643,164,0,"",small,0,0,0
679,175,0,black,small,0,0,0
680,175,0,black,medium,0,0,0
681,175,0,black,large,1,0,0
682,175,0,grey,small,0,0,0
683,175,0,grey,medium,0,0,0
684,175,0,grey,large,1,0,0
685,175,0,coral,small,0,0,0
650,166,0,pink,medium,0,0,0
687,175,0,coral,large,1,0,0
703,177,0,America,Small,0,0,0
704,177,0,America,Medium,0,0,0
705,177,0,America,Large,0,0,0
707,177,0,Spirit,Medium,0,0,0
719,181,0,Dream,Medium,0,0,0
706,177,0,Spirit,Small,0,0,0
699,179,0,Coffee,Large,0,0,0
701,179,0,Yoga,Medium,0,0,0
732,183,0,Grey,Large,0,0,0
688,176,0,"",small,0,0,0
689,176,0,"",medium,0,0,0
738,184,0,"",2XL,0,0,0
695,178,0,"",Medium,0,0,0
696,178,0,"",Large,0,0,0
694,178,0,"",Small,0,0,0
717,181,0,Bike,Large,0,0,0
727,183,0,Black,Small,0,0,0
722,182,0,Nude,"",0,0,0
721,182,0,Black,"",0,0,0
720,181,0,Dream,Large,0,0,0
700,179,0,Yoga,Small,0,0,0
713,180,0,Purple,Medium,0,0,0
714,180,0,Purple,Large,0,0,0
712,180,0,Purple,Small,0,0,0
664,170,0,"",small,0,0,0
709,180,0,Oatmeal,Small,0,0,0
655,167,0,"",small,0,0,0
